,FILER,ACTIVCD1,SUBSECCD,POPCODE,styear,REASON,CODE990,INCCD,ASCD,EIN,P1TCONT,P1DUES,P1SECURG,P1SECURC,P1INVST,P1FREXP,P1INVNTC,P1INVNTN,P1SALES,GROSSINC,GROSSREC,P1TOTEXP,P1NASEOY,P2TCOMP,P2TFRFEE,P4B_ASST,P4E_ASST,P4B_LIAB,P4E_LIAB,P4E_RETN,P6INIFEE,P6PUBINC,P6MEMINC,P6OTHINC,P6POLEXP,A3LOBBY,A6GLBYB,A6DLBYB,A6TGLBB,A6NLBEB,P6UNRELB,NAME,CITY,STATE,ZIP,ZIP5,FIPS,NTEECC,NTEE1,zipnew,MSA_NECH,PMSA,fipsold,v_errorCd,LEVEL1,LEVEL2,LEVEL3,LEVEL4,RandNum,nteeConf,MAJGRPB,OUTNCCS,OUTREAS,NTEESRC,ntmaj10,ntmaj12,ntmaj5,NteeOldA,Confidence,NteeCC4d,FipsOldA,estTAXPER,TaxPer,FisYr,stateOld1,zip5Old1,cityOld1,Ntee2007a,Confidence2007a,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,ORGCD,RULEDATE,SEC_NAME,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,nteeFinal,nteeFinal1,NAICS
12777,990.0,200,6,1,1989,0,1,4,4,131783842,0,289673,0,0,13674,0,0,0,13674,13674,303347,251074,141503,0,0,77398,130077,-11832,-11426,141503,0,0,0,0,0,0,0,0,0,0,N,ANTIQUARIAN BOOKSELLERS ASSOC AMERICA SHOP 2 CONCOURSE,NEW YORK,NY,10020-1605,10020.0,36061,A03,A,,5602.0,5600.0,,,O,O,AR,A,0.8221299999999999,,A,IN,,Q,AR,AR,AR,Z99,A,,,198912,198912,1989,NY,10020.0,,A0333,A,12,200.0,0.0,0.0,50 ROCKERFELLER PLAZA,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,5109.0,2 CONCOURSE,PC,O,AR,A,OUT,S,A0333,A,813920.0
12794,990.0,123,4,1,1990,0,1,4,2,131813049,92722,0,0,0,113,14163,0,0,45024,45024,137746,144216,-12394,25253,0,23003,22451,28927,34845,0,0,0,0,0,0,0,0,0,0,0,N,AMER COMM AFRICA,NEW YORK,NY,10038-4010,10038.0,36061,A70,A,,5602.0,5600.0,,,O,O,AR,A,0.17171,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10038.0,,A70,C,12,123.0,124.0,480.0,17 JOHN STREET 12TH FLOOR,3.0,0.0,3000.0,AFRICA ACTION,2.0,13.0,0.0,10.0,0.0,1.0,7911.0,,PC,O,AR,A,OUT,S,A70,A,710000.0
12809,990.0,205,6,1,1990,0,1,6,4,131830960,0,79363,0,0,19416,0,0,0,1164702,1164702,1244065,1125822,317772,0,0,291090,433241,91561,115469,0,0,0,0,0,0,0,0,0,0,0,Y,INTERNATIONAL RADIO AND TELEVISION SOCIETY INC,NEW YORK,NY,10170-0002,10170.0,36061,A32,A,,5602.0,5600.0,,,O,O,AR,A,0.64423,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10170.0,,A32,A,12,205.0,120.0,0.0,420 LEXINGTON AVE,3.0,,2000.0,,,,0.0,,,,5406.0,,PC,O,AR,A,OUT,S,A32,A,513120.0
12825,990.0,265,9,1,1989,0,1,6,6,131841248,0,0,85000,84299,72112,0,0,0,1147283,1062984,1147283,1114013,657334,0,0,1095732,1151035,387369,493701,0,0,0,0,0,0,0,0,0,0,0,N,INTL PHOTOGRAPHERS 644 WELFARE FND,NEW YORK,NY,10011-5126,10011.0,36061,A40,A,,5602.0,5600.0,,,O,O,AR,A,0.07045,,A,IN,,Q,AR,AR,AR,Z99,C,,,199008,199008,1990,NY,10011.0,,A40,A,8,265.0,0.0,0.0,505 EIGHTH AVE,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,5.0,5811.0,,PC,O,AR,A,OUT,S,A40,A,710000.0
12861,990.0,263,5,1,1990,0,1,4,3,131866133,0,151556,0,0,780,0,0,0,780,780,152336,151209,30525,0,0,35824,36383,6426,5858,30525,0,0,0,0,0,0,0,0,0,0,N,INTERNATIONAL ALLIANCE THEATRICAL STAGE EMP & MVG,NEW YORK,NY,10018-6505,10018.0,36061,A65,A,,5602.0,5600.0,,,O,O,AR,A,0.55075,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10018.0,,A65,A,12,263.0,0.0,0.0,505 EIGHTH AVE 16TH FLR,9.0,,3000.0,,,,0.0,,,,6205.0,PIC MACH OP-US&CAN,PC,O,AR,A,OUT,S,A65,A,711110.0
12965,990.0,205,6,1,1989,0,1,6,6,131951979,0,144816,0,0,105847,0,0,0,2188085,2188085,2332901,1982650,1549834,106667,0,1488916,1986114,289333,436280,0,0,0,0,0,0,0,0,0,0,0,Y,NAT ACAD TELEVISION ARTS & SCIENCES,NEW YORK,NY,10019-2211,10019.0,36061,A03,A,,5602.0,5600.0,,,O,O,AR,A,0.18445999999999999,,A,IN,,Q,AR,AR,AR,Z99,A,,,199008,199008,1990,NY,10019.0,,A0332,A,8,205.0,0.0,0.0,111 W 57TH ST,6.0,0.0,2000.0,,2.0,13.0,0.0,10.0,3005.0,5.0,7610.0,,PC,O,AR,A,OUT,S,A0332,A,813920.0
13019,990.0,920,6,1,1990,0,1,4,4,131996451,0,190000,0,0,41508,0,0,0,41594,41594,231594,227038,267345,99021,0,367046,399026,104256,131681,0,0,0,0,0,0,0,0,0,0,0,N,MEDIA RATING CNCL,NEW YORK,NY,10019-3211,10019.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.137,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10019.0,,A30,B,12,920.0,905.0,0.0,200 W 57TH ST STE 204,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,6512.0,,PC,O,AR,A,OUT,S,A30,A,510000.0
13075,990.0,205,6,1,1990,0,1,4,2,132562532,0,0,0,0,2386,0,0,0,260893,260893,260893,289535,19721,0,0,51088,23974,2725,4253,0,0,0,0,0,0,0,0,0,0,0,N,AMER SOC JOURNALISTS & AUTHORS,NEW YORK,NY,10036-5503,10036.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.31383,,A,IN,,Q,AR,AR,AR,Z99,C,,,199106,199106,1991,NY,10036.0,,A70,A,6,205.0,120.0,279.0,1501 BROADWAY,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,6801.0,,PC,O,AR,A,OUT,S,A70,A,710000.0
13094,990.0,267,17,1,1989,0,1,6,8,132576830,0,0,13992,0,1491726,0,0,0,1505718,1505718,1505718,694760,18702690,0,0,18246370,18952370,354638,249680,18702690,0,0,0,0,0,0,0,0,0,0,N,GRAPHIC ARTS INTL UNION LOC 119B NY PRNTRS LEAG SPCL DSPLCMT BNFT FND,NEW YORK,NY,10003-3305,10003.0,36061,A99,A,,5602.0,5600.0,,,O,O,AR,A,0.55323,,A,IN,,Q,AR,AR,AR,Z99,C,,,199006,199006,1990,NY,10003.0,,A40,C,6,267.0,0.0,0.0,27 UNION SQ RM 204,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,2.0,6803.0,PCL DSPLCMT BNFT FND,PC,O,AR,A,OUT,S,A1240,A,813219.0
13178,990.0,205,6,1,1990,0,1,6,5,132643358,0,51061,0,0,24284,0,0,0,1061444,1061444,1112505,981950,628305,0,0,546251,673588,48501,45283,0,0,0,0,0,0,0,0,0,0,0,N,THE ONE CLUB FOR ART & COPY,NEW YORK,NY,10010-7201,10010.0,36061,A40,A,10010.0,5602.0,5600.0,36061.0,,O,O,AR,A,0.73073,,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199012,199012,1990,NY,10010.0,NEW YORK,A20,B,12,123.0,995.0,0.0,32 E 21ST ST,3.0,199607.0,1000.0,,1.0,13.0,16.0,10.0,0.0,1.0,9207.0,,PC,O,AR,A,IN,,A20,A,710000.0
13210,990.0,200,6,1,1990,0,1,4,4,132666239,0,912,0,0,0,0,0,0,345478,345478,346390,249361,88467,0,0,97126,110307,7696,21840,0,0,0,0,0,0,0,0,0,0,0,N,NEW YORK MARKET RADIO BROADCASTERS ASSOC,NEW YORK,NY,10017-5404,10017.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.53179,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10017.0,,A34,A,12,200.0,120.0,0.0,51 E 42ND ST 416,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7101.0,,PC,O,AR,A,OUT,S,A34,A,513110.0
13280,990.0,200,6,1,1990,0,1,5,3,132760431,0,517606,0,0,2025,0,0,0,2025,2025,519631,479072,47919,0,0,7374,47919,15,0,47919,0,0,0,0,0,0,0,0,0,0,N,MEDIA COALITION,NEW YORK,NY,10038-2594,10038.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.9807,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10038.0,,A30,B,12,200.0,0.0,0.0,1221 AVE OF AMERICAS 24TH FLOOR,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7407.0,,PC,O,AR,A,OUT,S,A30,A,510000.0
13306,990.0,200,6,1,1989,0,1,4,1,132806164,5976,163468,0,0,0,0,0,0,11777,11777,181221,181214,-7102,0,0,12006,9026,19115,16128,0,0,0,0,0,0,0,0,0,0,0,N,ASSOC INDEPENDENT VIDEO & FILMMAKERS,NEW YORK,NY,10013-1015,10013.0,36061,A03,A,,5602.0,5600.0,,,O,O,AR,A,0.27844,,A,IN,,Q,AR,AR,AR,Z99,A,,,199006,199006,1990,NY,10013.0,,A0331,A,6,200.0,123.0,119.0,625 BROADWA,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7505.0,C,PC,O,AR,A,OUT,S,A0331,A,813920.0
13334,990.0,091,5,1,1989,8,1,4,2,132842726,80546,25853,0,0,1328,87497,0,0,219442,219442,325841,351817,-22521,0,0,44810,15399,42021,37920,0,0,0,0,0,0,0,0,0,0,0,N,CTR BOOK ARTS 1974,NEW YORK,NY,10012-2617,10012.0,36061,A40,A,,5602.0,5600.0,,,O,O,AR,A,0.80669,,A,IN,,Q,AR,AR,AR,Z99,A,,,198912,198912,1989,NY,10012.0,,A70,A,12,91.0,126.0,995.0,626 BROADWAY,3.0,0.0,1000.0,,1.0,13.0,16.0,10.0,0.0,1.0,7511.0,,PC,O,AR,A,OUT,S,A70,A,710000.0
13348,990.0,263,5,1,1990,0,1,9,8,132856736,0,582596,33047181,33047181,3997687,0,0,0,56661521,23614340,57244117,25876002,11022155,910517,0,14968739,12832081,2283591,1809926,0,0,0,0,0,0,0,0,0,0,0,N,AMALGAMATED CLOTHING & TEXTILE WORKERS UNION,NEW YORK,NY,10019-5254,10019.0,36061,A40,A,,5602.0,5600.0,,,O,O,AR,A,0.05509,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10019.0,,A40,A,12,263.0,261.0,279.0,15 UNION SQUARE,6.0,0.0,3000.0,,2.0,13.0,0.0,10.0,3084.0,2.0,7802.0,ACTWU,PC,O,AR,A,OUT,S,A40,A,710000.0
13349,990.0,200,6,1,1990,0,1,3,3,132857251,0,43114,0,0,1666,0,0,0,1666,1666,44780,33202,46328,0,0,34750,46328,0,0,0,0,0,0,0,0,0,0,0,0,0,N,DECORATIVE FABRICS ASSOC,LONG ISLAND CITY,NY,10013-1522,10013.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.16885999999999998,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10013.0,,A40,A,12,200.0,0.0,0.0,31 11 THOMSON AVE,3.0,0.0,2000.0,% LEE JOFA INC,2.0,11.0,0.0,10.0,0.0,1.0,7708.0,,PC,O,AR,A,OUT,S,A40,A,710000.0
13350,990.0,200,6,1,1990,0,1,4,4,132857274,0,139263,0,0,2709,0,9761,15758,87713,77952,226976,149034,44622,0,0,122566,160187,146125,115565,0,0,0,0,0,0,0,0,0,0,0,N,BOOK INDUSTRY STUDY GROUP,NEW YORK,NY,10010-7003,10010.0,36061,A05,A,,5602.0,5600.0,,,O,O,AR,A,0.67904,,A,IN,,Q,AR,AR,AR,Z99,A,,,199106,199106,1991,NY,10010.0,,A0533,A,6,200.0,209.0,0.0,160 FIFTH AVE 640,3.0,0.0,2000.0,% PASKUS GORDON & HYMAN,2.0,13.0,0.0,10.0,0.0,1.0,7609.0,,PC,O,AR,A,OUT,S,A0533,A,541720.0
13351,990.0,123,4,1,1989,0,1,4,3,132857308,0,97950,0,0,6692,0,0,0,11497,11497,109447,101757,73658,0,0,84036,83421,18068,9763,0,0,0,0,0,0,0,0,0,0,0,N,WOMENS FORUM,NEW YORK,NY,10017-6224,10017.0,36061,A70,A,,5602.0,5600.0,,,O,O,AR,A,0.8886299999999999,,A,IN,,Q,AR,AR,AR,Z99,C,,,199010,199010,1990,NY,10017.0,,R24,C,10,123.0,559.0,0.0,9 E 41ST ST,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7602.0,,PC,O,AR,A,OUT,S,R24,R,813311.0
13353,990.0,264,9,1,1990,0,1,6,6,132861474,0,0,225000,227667,96110,0,0,0,4703022,4475355,4703022,2921056,2301446,0,0,2577872,3603884,1821689,1302438,2301446,0,0,0,0,0,0,0,0,0,0,N,LOCAL 15 ASSOC FILM CRAFTSMEN WELFARE FND,NEW YORK,NY,10019-3202,10019.0,36061,A31,A,,5602.0,5600.0,,,O,O,AR,A,0.36428,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10019.0,,A31,A,12,264.0,265.0,279.0,250 W 57TH ST,3.0,0.0,1000.0,% KING ADMINISTRATORS,2.0,13.0,0.0,20.0,0.0,2.0,7702.0,,PC,O,AR,A,OUT,S,A31,A,512110.0
13366,990.0,267,17,1,1989,0,1,7,6,132873008,0,0,7592355,7592917,186870,0,0,0,7779225,186308,7779225,90094,2368095,0,0,2232220,2382102,8378,14007,2368095,0,0,0,0,0,0,0,0,0,0,N,PRINTERS LEAGUE GRAPHIC ARTS INTNTL UNION LOC 43B SPEC DISPL BNFT FND,NEW YORK,NY,10003-3388,10003.0,36061,A99,A,,5602.0,5600.0,,,O,O,AR,A,0.85611,,A,IN,,Q,AR,AR,AR,Z99,C,,,199001,199001,1990,NY,10003.0,,A0333,A,1,267.0,0.0,0.0,27 UNION SQ RM 407,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,2.0,7608.0,SPEC DISPL BNFT FUND,PC,O,AR,A,OUT,S,A0333,A,813920.0
13458,990.0,000,6,1,1990,9,1,3,1,132918640,0,44617,0,0,461,0,0,0,461,461,45078,54764,8978,0,0,18664,8978,0,0,0,0,0,0,0,0,0,0,0,0,0,N,WOMENS MEDIA GROUP,NEW YORK,NY,10017-6102,10017.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.15355,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10017.0,,A30,B,12,205.0,0.0,0.0,501 5TH AVE 901,3.0,0.0,2000.0,% SHUBERT SILVER & ROSEN,2.0,13.0,0.0,10.0,0.0,1.0,9308.0,,PC,O,AR,A,OUT,S,A30,A,510000.0
13483,,091,4,0,1989,0,1,0,0,132931071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,SOC ANIMAL ARTISTS,NEW YORK,NY,10003-4303,10003.0,36061,A20,A,,5602.0,5600.0,,,O,O,AR,A,0.65533,,A,IN,,Q,AR,AR,AR,Z99,C,,,198912,198912,1989,NY,10003.0,,A0340,A,12,91.0,126.0,0.0,47 FIFTH AVE,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,8306.0,,PC,O,AR,A,OUT,S,A0340,A,813920.0
13487,990.0,319,7,1,1990,0,1,3,3,132932563,100,1675,0,0,14562,0,0,0,34181,34181,35956,17071,74057,0,0,70311,74057,0,0,0,1675,0,0,0,0,0,0,0,0,0,N,METRO SOC KARDAMYLIANS,BROOKLYN,NY,11209-3601,11209.0,36047,A99,A,,5602.0,5600.0,,,O,O,AR,A,0.52068,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,11209.0,,A99,C,12,119.0,123.0,0.0,7919 THIRD AVE,3.0,0.0,1000.0,,2.0,11.0,0.0,10.0,0.0,1.0,7805.0,LIVANOS,PC,O,AR,A,OUT,S,A99,A,710000.0
13553,,000,3,0,1989,0,1,0,0,132964947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,INTERNATIONAL WOMENS WRITING GUILD,NEW YORK,NY,10028-0082,10028.0,36061,A70,A,10028.0,5602.0,5600.0,36061.0,,PC,O,AR,A,0.43966000000000005,,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,198912,198912,1989,NY,10028.0,NEW YORK,A70,A,12,92.0,0.0,0.0,BOX 810 GRACIE STA,3.0,0.0,1000.0,,1.0,13.0,16.0,10.0,0.0,1.0,9405.0,,PC,O,AR,A,IN,,A70,A,710000.0
13565,990.0,091,4,1,1990,0,1,5,3,132971627,0,0,0,0,2137,0,0,0,666832,666832,666832,667145,90463,72500,0,95413,97878,4637,7415,90463,0,0,0,0,0,0,0,0,0,0,N,AMER ARTS & CRAFTS ALLIANCE,CENTERPORT,NY,10168-1999,10168.0,36061,A20,A,,5602.0,5600.0,,,O,O,AR,A,0.27237,,A,IN,,Q,AR,AR,AR,Z99,A,,,199012,199012,1990,NY,10168.0,,A0140,A,12,91.0,0.0,0.0,PO BOX 241,3.0,0.0,3000.0,% ALAN FELL,2.0,13.0,0.0,10.0,0.0,1.0,7907.0,,PC,O,AR,A,OUT,S,A0140,A,813319.0
13608,,205,6,0,1989,0,1,0,0,132990527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,MUSIC PUBLISHERS ASSOC UNITED STATES,NEW YORK,NY,10017-4014,10017.0,36061,A01,A,,5602.0,5600.0,,,O,O,AR,A,0.28953,,A,IN,,Q,AR,AR,AR,Z99,C,,,199005,199005,1990,NY,10017.0,,A68,A,5,205.0,0.0,0.0,205 E 42ND ST,3.0,0.0,2000.0,,2.0,13.0,0.0,10.0,0.0,1.0,7910.0,INC,PC,O,AR,A,OUT,S,A68,A,711130.0
13660,990.0,000,3,1,1990,9,1,3,2,133019799,37695,0,0,0,0,0,0,0,35515,35515,73210,59028,16599,0,0,4192,16599,1775,0,0,0,0,0,0,0,0,0,0,0,0,N,NEW LIFE DANCE INC,NEW YORK,NY,10009-0834,10009.0,36061,A62,A,10009.0,5602.0,5600.0,36061.0,,PC,O,AR,A,0.11259000000000001,,A,IN,,Q,AR,AR,AR,Z99,A,,36061.0,199012,199012,1990,NY,10009.0,NEW YORK,A62,A,12,995.0,90.0,0.0,PO BOX 834,3.0,0.0,1000.0,,1.0,13.0,16.0,10.0,0.0,1.0,8008.0,,PC,O,AR,A,IN,,A62,A,711120.0
13664,990.0,064,4,1,1990,0,1,3,2,133021168,30500,0,0,0,0,0,0,0,41167,41167,71667,57586,15309,0,0,49026,15309,11450,0,0,0,0,0,0,0,0,0,0,0,0,Y,COMITE DEL DESFILE DE LA HISPANIDAD,NEW YORK,NY,10010-0000,10010.0,36061,A84,A,,5602.0,5600.0,,,O,O,AR,A,0.63967,,A,IN,,Q,AR,AR,AR,Z99,C,,,199102,199102,1991,NY,10010.0,,A84,C,2,64.0,90.0,92.0,174 176 5TH AVE SUITE 401,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,8005.0,,PC,O,AR,A,OUT,S,A84,A,712120.0
13704,990.0,000,4,1,1990,7,1,4,3,133036753,54262,0,0,0,0,397,0,0,90109,90109,144371,105592,44634,0,0,5855,44634,0,0,0,0,0,0,0,0,0,0,0,0,0,N,BOND STREET THEATRE COALITION,NEW YORK,NY,10012-2308,10012.0,36061,A65,A,,5602.0,5600.0,,,O,O,AR,A,0.28663,,A,IN,,Q,AR,AR,AR,Z99,A,,,199012,199012,1990,NY,10012.0,,A65,A,12,0.0,0.0,0.0,2 BOND ST,3.0,0.0,3000.0,,0.0,13.0,0.0,10.0,0.0,5.0,0.0,,PC,O,AR,A,OUT,S,A65,A,711110.0
13839,,090,5,0,1990,0,1,0,0,133087478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,SAFARI EAST CULTURAL PRESENTATIONS,NEW YORK,NY,10016-7923,10016.0,36061,A68,A,,5602.0,5600.0,,,O,O,AR,A,0.87785,,A,IN,,Q,AR,AR,AR,Z99,A,,,199108,199108,1991,NY,10016.0,,A68,A,8,90.0,0.0,0.0,141 W 28TH ST 302,3.0,0.0,1000.0,,1.0,13.0,15.0,10.0,0.0,1.0,8110.0,,PC,O,AR,A,OUT,S,A68,A,711130.0
13856,990.0,091,4,1,1990,0,1,3,2,133093349,15463,59067,0,0,354,0,0,0,14616,14616,89146,94245,17717,0,0,25523,19657,5151,1940,0,0,0,0,0,0,0,0,0,0,0,N,SOHO 20 ARTISTS INC,NEW YORK,NY,10013-2294,10013.0,36061,A40,A,10013.0,5602.0,5600.0,36061.0,,O,O,AR,A,0.40828000000000003,,A,IN,,Q,AR,AR,AR,Z99,C,,36061.0,199012,199012,1990,NY,10013.0,NEW YORK,A40,B,12,91.0,0.0,0.0,469 BROOME ST,3.0,0.0,3000.0,,1.0,13.0,15.0,10.0,0.0,1.0,8905.0,,PC,O,AR,A,IN,,A99,A,710000.0
13861,,123,6,0,1990,0,1,0,0,133094056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,PACIFIC INTELLECTUAL PROPERTY ASSOC,NEW YORK,NY,10163-3477,10163.0,36061,A70,A,,5602.0,5600.0,,,O,O,AR,A,0.28818,,A,IN,,Q,AR,AR,AR,Z99,C,,,199103,199103,1991,NY,10163.0,,S03,C,3,123.0,0.0,0.0,PO BOX 3477 GRAND CENTRAL STA,3.0,0.0,2000.0,,2.0,13.0,0.0,20.0,0.0,5.0,8201.0,,PC,O,AR,A,OUT,S,S03,S,813920.0
13904,990.0,123,4,1,1990,0,1,4,4,133109557,66563,121506,0,0,18399,31452,0,0,131231,131231,319300,195253,385066,23255,0,339556,432710,27212,47644,0,0,0,0,0,0,0,0,0,0,0,N,DEMOCRATIC SOCIALISTS AMERICA,NEW YORK,NY,10014-4606,10014.0,36061,A70,A,,5602.0,5600.0,,,O,O,AR,A,0.73146,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10014.0,,A70,C,12,123.0,521.0,0.0,180 VARICK ST,3.0,0.0,3000.0,,2.0,13.0,0.0,10.0,0.0,1.0,8807.0,,PC,O,AR,A,OUT,S,V24,V,541720.0
13911,990.0,119,4,1,1990,9,1,3,3,133112767,0,34882,0,0,4302,0,0,0,4490,4490,39372,41856,49937,0,0,56145,54955,3723,5018,49937,0,0,0,0,0,0,0,0,0,0,N,INTL CNCL TRADITIONAL MUSIC,NEW YORK,NY,10027-0000,10027.0,36061,A68,A,,5602.0,5600.0,,,O,O,AR,A,0.24228000000000002,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10027.0,,A68,A,12,119.0,93.0,0.0,DEPT OF MUSIC COLUMBIA UNIVERSITY,3.0,0.0,1000.0,% DEPT OF MUSIC COLUMBIA UNIVERSITY,2.0,13.0,0.0,10.0,0.0,5.0,8602.0,,PC,O,AR,A,OUT,S,A68,A,711130.0
13937,990.0,200,6,1,1990,0,1,5,4,133119551,0,500000,0,0,6558,0,0,0,6558,6558,506558,357482,211815,115417,0,70793,215939,3747,4124,0,0,0,0,0,0,0,0,0,0,0,N,RADIO NETWORK ASSOC,NEW YORK,NY,10017-5613,10017.0,36061,A34,A,,5602.0,5600.0,,,O,O,AR,A,0.9337799999999999,,A,IN,,Q,AR,AR,AR,Z99,C,,,199012,199012,1990,NY,10017.0,,A34,A,12,200.0,121.0,0.0,100 E 42ND ST,3.0,0.0,1000.0,,2.0,13.0,0.0,10.0,0.0,1.0,8309.0,,PC,O,AR,A,OUT,S,A34,A,513110.0
